group1,group2,bothTest,bothTrain
2005650,3301660,0,100
2005650,3311680,0,71
2005650,3313650,0,100
2005650,3315650,0,79
2005650,3317650,0,100
2005650,3319650,0,82
2005650,3321660,0,100
2005650,3323670,0,75
2005650,3327650,0,100
2005650,3335650,0,80
2005650,3337650,0,100
2005650,3339680,0,81
2005650,3341680,0,100
2005650,3343650,0,89
2005650,3345650,0,100
2005650,3347653,0,79
2005650,3357650,0,100
2005650,3361650,0,83
2005650,3363660,0,100
2005650,3365650,0,85
2005650,3367653,0,100
2005650,3371650,0,86
2005650,3373660,0,100
2005650,3375670,0,84
2005650,3377650,0,100
2005650,3381650,0,80
2005650,3385670,0,100
2005650,3387660,0,77
2005650,3389690,0,100
2005650,3391652,0,71
2005650,3399653,0,100
2005650,3401650,0,81
2005650,3403653,0,100
2005650,3405653,0,81
2005650,3407653,0,100
2005650,3409650,0,77
2005650,3411650,0,100
2005650,3415660,0,77
2005650,3417653,0,100
2005650,3419660,0,87
2005650,3421653,0,100
2005650,3427670,0,78
2005650,3429653,0,100
2005650,3431650,0,78
2005650,3433650,0,100
2005650,3435690,0,88
2005650,3437650,0,100
2005650,3439680,0,75
2005650,3441650,0,100
2005650,3443650,0,80
2005650,3445670,0,100
2005650,3447650,0,88
2005650,3453650,0,100
2005650,3455650,0,78
2005650,3477660,0,100
2005650,3481660,0,80
2005650,3483651,0,100
2005650,3485680,0,85
2005650,3487650,0,100
2005650,3489670,0,76
2005650,3491650,0,100
2005650,3495650,0,75
2005650,3497650,0,100
2005650,3499660,0,84
2005650,3501650,0,100
2005650,3503650,0,78
2005650,3509661,0,100
2005650,3511650,0,71
2005650,3515660,0,100
2005650,3517653,0,77
2005650,3519670,0,100
2005650,3523650,0,87
2005650,3525650,0,100
2005650,3527670,0,75
2005650,3529653,0,100
2005650,3531650,0,84
2005650,3535650,0,100
2005650,3537650,0,81
2005650,3551650,0,100
2005650,3561650,0,83
2007660,2009650,3,57
2007660,2013660,0,72
2007660,2015650,5,52
2007660,2017660,0,72
2007660,2019651,8,58
2007660,2023680,0,72
2007660,2025653,3,55
2007660,2027653,0,72
2007660,2029650,10,56
2007660,2031650,0,72
2007660,2033650,7,53
2007660,2035650,0,72
2007660,2037653,2,55
2007660,2039650,0,72
2007660,2041650,6,54
2007660,2043650,0,72
2007660,2045653,5,58
2007660,2049653,0,72
2007660,2051660,7,58
2007660,2055690,0,72
2007660,2057650,6,55
2007660,2059653,0,72
2007660,2061650,5,55
2007660,2063650,0,72
2007660,2065651,4,52
2007660,2067650,0,72
2007660,2071650,3,58
2007660,2073650,0,72
2007660,2075650,3,55
2007660,2077653,0,72
2007660,2081660,3,60
2007660,2083650,0,72
2007660,2085653,7,50
2007660,2087650,0,72
2007660,2093650,3,58
2007660,2097653,0,72
2007660,2103650,6,63
2007660,2105652,0,72
2007660,2107650,7,57
2007660,2109653,0,72
2007660,2113670,6,60
2007660,2115650,0,72
2007660,2117651,7,57
2007660,2119650,0,72
2007660,2123652,7,58
2007660,2125650,0,72
2007660,2127650,9,58
2007660,2129660,0,72
2007660,2131650,2,63
2007660,2133650,0,72
2007660,2137650,5,53
2007660,2139650,0,72
2007660,2143653,5,52
2007660,2145660,0,72
2007660,2147680,5,55
2007660,2149650,0,72
2007660,2151650,6,54
2007660,2153660,0,72
2007660,2155650,4,54
2007660,2157660,0,72
2007660,2159650,9,62
2007660,2161653,0,72
2007660,2163653,6,58
2007660,2165652,0,72
2007660,2167670,7,52
2007660,2169653,0,72
2007660,2171690,4,56
2007660,2173650,0,72
2007660,2177653,5,64
2007660,2179650,0,72
2007660,2181650,6,55
2007660,2183650,0,72
2007660,2185670,5,55
2007660,2187680,0,72
2007660,2189650,4,60
2007660,2193650,0,72
2007660,2195651,4,61
2007660,2197670,0,72
2007660,2199650,6,63
2007660,2201650,0,72
2007660,2203653,4,57
2007660,2205670,0,72
2007660,2207653,6,61
2007660,2215650,0,72
2007660,2219650,3,64
2007660,2221650,0,72
2007660,2223650,7,61
2007660,2225650,0,72
2007660,2227660,6,61
2007660,2229653,0,72
2007660,2231653,5,60
2007660,2239650,0,72
2007660,2241650,11,54
2007660,2243651,0,72
2007660,2253660,3,57
2007660,2255653,0,72
2007660,2257660,3,51
2007660,2261650,0,72
2007660,2265651,7,56
2007660,2267653,0,72
2007660,2271650,5,56
2007660,2277650,0,72
2007660,2279650,4,59
2007660,2281651,0,72
2007660,2283670,3,57
2007660,2285653,0,72
2007660,2287660,9,61
2007660,2289650,0,72
2007660,2291653,8,59
2007660,2293650,0,72
